Date,Index
01/09/2023,135.3
01/08/2023,134.7
01/07/2023,134.5
01/06/2023,131.9
01/05/2023,130.1
01/04/2023,128.8
01/03/2023,127.9
01/02/2023,126.9
01/01/2023,125.4
01/12/2022,124.5
01/11/2022,121
01/10/2022,118.1
01/09/2022,114.5
01/08/2022,111.5
01/07/2022,108.4
01/06/2022,105.9
01/05/2022,104
01/04/2022,102.1
01/03/2022,100.8
01/02/2022,99.4
01/01/2022,98.2
01/12/2021,96.9
01/11/2021,95.6
01/10/2021,94.3
01/09/2021,94.2
01/08/2021,94.3
01/07/2021,93.5
01/06/2021,92.3
01/05/2021,91.5
01/04/2021,90.9
01/03/2021,91.1
01/02/2021,90.6
01/01/2021,90.6
01/12/2020,90.5
